Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
газобетон коттедж,,442,samara,брендовый,/samara/catalog/,бренд: Коттедж,"Webmaster, Wordstat",1,основной,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=20.0; clicks=14.0; demand=20.0; clicks=14.0
газобетон коттедж самара,,358,samara,брендовый,/samara/catalog/,бренд: Коттедж,"Webmaster, Wordstat",1,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=24.0; clicks=19.0; demand=24.0; clicks=19.0; demand=24.0; clicks=19.0
газобетонные блоки самара,,351,samara,коммерческий,/samara/catalog,общий спрос,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=1.0; clicks=1.0
купить газобетонные блоки,,349,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=98.0; clicks=35.0
газобетонные блоки в самаре купить,,348.0,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=348.0; clicks=182.0
сколько газобетона,,328,samara,информационный,/samara/calculator,общий спрос,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
какой газобетон,,324,samara,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
куб газоблока,,297,samara,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблоки какие,,294,samara,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон цена за куб,,285.0,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",1,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=285.0; clicks=116.0
купить газоблок в самаре,,275.0,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=275.0; clicks=141.0
газобетонный блок,,273.0,samara,коммерческий,/samara/catalog,общий спрос,Webmaster,1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=273.0; clicks=121.0
стена из газобетона,,268,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
баня из газоблока,,266,samara,информационный,/construction,проекты зданий,"Webmaster, Wordstat",1,длинный,средняя,,Сделать подборку проектов и расчеты материалов,к проработке,demand=16.0; clicks=14.0
нужен газоблок,,251,samara,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок коттедж,,248,samara,информационный,/construction,проекты зданий,"Webmaster, Wordstat",1,основной,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=33.0; clicks=25.0
газобетон официальный,,247,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,Wordstat,1,основной,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газобетон цена,,237,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",1,основной,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=96.0; clicks=28.0
газоблок размеры,,236,samara,информационный,/construction,характеристики,"Webmaster, Wordstat",1,основной,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=27.0; clicks=16.0
баня из газобетона,,226,samara,коммерческий,/samara/catalog,проекты зданий,"Webmaster, Wordstat",1,длинный,средняя,,Сделать подборку проектов и расчеты материалов,к проработке,demand=17.0; clicks=13.0
газобетонные блоки в самаре,,225.0,samara,коммерческий,/samara/catalog,общий спрос,Webmaster,1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=225.0; clicks=97.0
стоимость блоков из газобетона,,225.0,samara,коммерческий,/samara/catalog,цены,Webmaster,1,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=225.0; clicks=115.0
купить газобетон,,224,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=93.0; clicks=29.0; demand=93.0; clicks=29.0
сайт газобетон,,220,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
лучший газоблок,,219,samara,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон официальный сайт,,211,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,Wordstat,1,длинный,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газоблок цена в самаре за куб,,193.0,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=193.0; clicks=83.0
газоблоки стоя,,180,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетон блоки самара,,177.0,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=177.0; clicks=77.0; demand=177.0; clicks=77.0
газоблок в кубе,,176,samara,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько стоит газоблок,,174,samara,коммерческий,/samara/catalog,общий спрос,"Webmaster, Wordstat",2,вопрос,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=5.0; clicks=2.0
газобетон 63,,171,samara,брендовый,/samara/catalog/-63,бренд: Газобетон 63,"Webmaster, Wordstat",2,основной,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=46.0; clicks=31.0
газобетон сгзсб,,164.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,основной,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=164.0; clicks=124.0
газобетонные блоки цена,,163,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=97.0; clicks=30.0
газоблок цена сгзсб,,163.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=163.0; clicks=121.0
нужен газобетон,,163,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
построил из газобетона,,163,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки в самаре купить цены,,159.0,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=159.0; clicks=63.0
стена из газоблока,,158,samara,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетонные блоки в самаре,,157.0,samara,коммерческий,/samara/catalog,покупка,Webmaster,2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=157.0; clicks=69.0
1 газобетон,,153,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
коттедж самара газобетон,,153.0,samara,коммерческий,/samara/catalog,проекты зданий,Webmaster,2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=153.0; clicks=109.0; demand=153.0; clicks=109.0; demand=153.0; clicks=109.0
газоблок сколько нужно,,150,samara,информационный,/samara/calculator,общий спрос,Wordstat,2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
купить газоблоки в самаре от производителя цена,,150.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=150.0; clicks=54.0
стоимость газоблока за штуку в самаре,,147.0,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,средняя,,Актуализировать блок цен и условия покупки,к проработке,demand=147.0; clicks=51.0
газобетон размеры,,146,samara,коммерческий,/samara/catalog,характеристики,"Webmaster, Wordstat",2,основной,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=1.0; clicks=1.0
стоимость газобетонного блока в самаре,,146.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=146.0; clicks=53.0
газобетонные блоки от производителя цена купить,,139.0,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,средняя,,Актуализировать блок цен и условия покупки,к проработке,demand=139.0; clicks=52.0
калькулятор газобетона,,139,samara,информационный,/samara/calculator,калькулятор,"Webmaster, Wordstat",2,основной,средняя,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=6.0; clicks=5.0
цена газобетонные блоки в самаре,,139.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=139.0; clicks=88.0
газобетонные блоки цена за штуку в самаре,,138.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=138.0; clicks=47.0
поддон газоблока,,138,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок коттедж самара,,134,samara,коммерческий,/samara/catalog,проекты зданий,"Webmaster, Wordstat",2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=25.0; clicks=16.0
м из газобетона,,134,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон самара сгзсб,,133.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=133.0; clicks=95.0
газоблок тольятти,,133,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=12.0; clicks=10.0
калькулятор газоблока,,131,samara,информационный,/samara/calculator,калькулятор,"Webmaster, Wordstat",2,основной,средняя,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=19.0; clicks=21.0
коттедж газобетон официальный,,131,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,Wordstat,2,длинный,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
стоит газобетон,,131,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон кв м,,130,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
фундамент для газобетона,,130,samara,коммерческий,/samara/catalog,фундамент,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
коттедж самара газобетон официальный,,129,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,"Webmaster, Wordstat",2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=3.0; clicks=3.0; demand=3.0; clicks=3.0; demand=3.0; clicks=3.0
газобетон купить в самаре,,128.0,samara,коммерческий,/samara/catalog,покупка,"Webmaster, Wordstat",2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=128.0; clicks=48.0; demand=128.0; clicks=48.0
газоблоки в самаре цены сгзсб,,126.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=126.0; clicks=88.0
сколько стоит газобетон,,125,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон крыша,,123,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон самара официальный сайт,,122,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,Wordstat,2,длинный,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газобетонные блоки сгзсб,,119.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=119.0; clicks=89.0
сколько газоблоков в кубе,,119,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=5.0; clicks=2.0
сколько куб газоблока в кубе,,119,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько кубов в газоблоке,,119,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 100,,116,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон своими руками,,115,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
куб газобетона,,115,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
кубе газобетон,,115,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон снаружи,,114,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок своими руками,,114,samara,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок цена в самаре,,114,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=95.0; clicks=26.0
газоблок за штуку,,111,samara,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
кладу газоблоки,,111,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
ложу газоблоки,,111,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон ключ,,110,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок сколько штук,,110,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок цена за штуку,,108.0,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=108.0; clicks=36.0
газоблоки в самаре цены,,106.0,samara,коммерческий,/samara/catalog,общий спрос,Webmaster,2,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=106.0; clicks=24.0
газобетонные блоки размеры и цены,,104.0,samara,коммерческий,/samara/catalog,характеристики,"Webmaster, Wordstat",2,длинный,высокая,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=104.0; clicks=34.0
газоблок размеры и цены,,104.0,samara,коммерческий,/samara/catalog,характеристики,"Webmaster, Wordstat",2,длинный,высокая,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=104.0; clicks=31.0
сколько газобетонных блоков,,103,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 300,,102,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
коттедж газобетон официальный сайт,,102,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,"Webmaster, Wordstat",2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=1.0; clicks=1.0; demand=1.0; clicks=1.0
расчет газобетона,,102,samara,информационный,/samara/calculator,калькулятор,"Webmaster, Wordstat",2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=0.0; clicks=1.0
коттедж самара газобетон официальный сайт,,100,samara,брендовый,/samara/catalog/-,бренд: Официальный сайт,"Webmaster, Wordstat",2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=37.0; clicks=29.0; demand=37.0; clicks=29.0; demand=37.0; clicks=29.0
сайт коттедж газобетон самара,,100,samara,коммерческий,/samara/catalog,проекты зданий,Wordstat,2,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
газоблок цена за куб,,99.0,samara,коммерческий,/samara/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=99.0; clicks=26.0
газоблок д500,,98.0,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=98.0; clicks=28.0
цена газобетонные блоки в самаре цена,,97.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=97.0; clicks=24.0
газоблок 1,,96,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетонный блок,,96.0,samara,коммерческий,/samara/catalog,покупка,Webmaster,2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=96.0; clicks=24.0
стоимость газоблоков в самаре,,96.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=96.0; clicks=23.0
толщина газобетона,,96,samara,информационный,/construction,характеристики,Wordstat,2,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
перегородочный блок газобетон,,95.0,samara,коммерческий,/samara/catalog,перегородки,"Webmaster, Wordstat",2,длинный,высокая,,"Выделить раздел про перегородки, указать размеры",к проработке,demand=95.0; clicks=27.0
блоки газоблоки,,90,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок сгзсб,,87.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,основной,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=87.0; clicks=63.0
купить газобетонный блок сгзсб,,87.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=87.0; clicks=60.0
сколько блоков газобетон,,87,samara,информационный,/samara/calculator,общий спрос,Wordstat,2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
газобетонные блоки в самаре цена,,86.0,samara,коммерческий,/samara/catalog,цены,Webmaster,2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=86.0; clicks=26.0
газоблок цена в самаре сгзсб,,86.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=86.0; clicks=60.0
купить газоблок в самаре сгзсб,,86.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=86.0; clicks=62.0
газобетонные блоки в самаре сгзсб,,85.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=85.0; clicks=62.0
газоблок самара сгзсб,,84.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=84.0; clicks=58.0
газоблоки 6,,84,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетон блоки самара сгзсб,,84.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=84.0; clicks=59.0; demand=84.0; clicks=59.0
сколько газоблоков в поддоне,,84,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=2.0; clicks=1.0
стоимость газоблока,,84,samara,коммерческий,/samara/catalog,цены,Wordstat,2,основной,,,Актуализировать блок цен и условия покупки,к проработке,
газобетонные блоки в самаре купить сгзсб,,83.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=83.0; clicks=59.0
купить газобетонные блоки в самаре сгзсб,,82.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=82.0; clicks=58.0
стоимость газоблоков в самаре сгзсб,,82.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,средняя,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=82.0; clicks=58.0
газобетонный блок сгзсб,,81.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=81.0; clicks=60.0
газоблок 600х300х200,,81,samara,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=2.0; clicks=1.0
газоблок 250,,79,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 100,,78,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок снаружи,,78,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 300,,77,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетон сгзсб,,77.0,samara,брендовый,/samara/catalog/,бренд: СГЗСБ,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=77.0; clicks=55.0; demand=77.0; clicks=55.0
чем хорош газобетон,,77,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок строй,,76,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
гараж из газобетона,,76,samara,коммерческий,/samara/catalog,проекты зданий,Wordstat,2,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
высота газобетона,,75,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
толщина газоблока,,75,samara,информационный,/construction,характеристики,Wordstat,2,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
утепление газобетона,,75,samara,информационный,/construction,утепление,Wordstat,2,основной,,,Добавить советы по утеплению и материалы,к проработке,
газобетон 3,,74,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
одноэтажный из газоблока,,74,samara,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон самара цена,,73,samara,коммерческий,/samara/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
газобетонные блоки коттедж,,73,samara,коммерческий,/samara/catalog,проекты зданий,"Webmaster, Wordstat",2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=3.0; clicks=2.0
какой газоблок лучше,,73,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
стоимость газобетона,,73,samara,коммерческий,/samara/catalog,цены,Wordstat,2,основной,,,Актуализировать блок цен и условия покупки,к проработке,
газобетонные блоки размеры,,72,samara,коммерческий,/samara/catalog,характеристики,"Webmaster, Wordstat",2,длинный,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=6.0; clicks=5.0
газоблок перегородочный,,72,samara,информационный,/construction,перегородки,Wordstat,2,основной,,,"Выделить раздел про перегородки, указать размеры",к проработке,
цена куба газоблока,,72,samara,коммерческий,/samara/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
купить газоблоки цена,,71,samara,коммерческий,/samara/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
сколько кубов газобетона,,71,samara,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
армопояс для газобетона,,70,samara,коммерческий,/samara/catalog,конструкции,"Webmaster, Wordstat",2,длинный,высокая,,"Уточнить требования к армопоясу, добавить схемы",к проработке,demand=6.0; clicks=4.0
отделка газобетона,,70,samara,коммерческий,/samara/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок окна,,68,samara,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
построить из газоблока,,68,samara,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
размер блока газобетона,,68,samara,коммерческий,/samara/catalog,характеристики,"Webmaster, Wordstat",2,длинный,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=2.0; clicks=1.0
