Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
купить газобетон,,234,ufa,коммерческий,/ufa/catalog,покупка,"Webmaster, Wordstat",1,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=2.0; clicks=1.0
кладка газоблока,,233,ufa,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон блок,,224,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
одноэтажный из газобетона,,224,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько стоит газоблок,,224,ufa,коммерческий,/ufa/catalog,общий спрос,"Webmaster, Wordstat",1,вопрос,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=11.0; clicks=4.0
газоблок цена за штуку,,219,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",1,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=18.0; clicks=5.0
газобетон уфа,,218,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок сколько штук,,217,ufa,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
стена из газобетона,,216,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
стена из газоблока,,216,ufa,информационный,/construction,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
баня из газобетона,,205,ufa,коммерческий,/ufa/catalog,проекты зданий,Wordstat,1,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
калькулятор газоблока,,202,ufa,информационный,/ufa/calculator,калькулятор,"Webmaster, Wordstat",1,основной,средняя,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=27.0; clicks=30.0
газоблок в кубе,,201,ufa,информационный,/construction,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок купить в уфе,,200,ufa,коммерческий,/ufa/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=35.0; clicks=29.0; demand=35.0; clicks=29.0
газобетон цена,,187,ufa,коммерческий,/ufa/catalog,цены,Wordstat,2,основной,,,Актуализировать блок цен и условия покупки,к проработке,
поддон газоблока,,183,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 1,,173,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок сколько нужно,,165,ufa,информационный,/ufa/calculator,общий спрос,Wordstat,2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
клей для газоблока,,160,ufa,информационный,/construction,инструменты,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600х300х200 цена,,154,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=27.0; clicks=9.0
минусы газоблока,,147,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки уфа,,146,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок плюсы,,141,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетонные блоки,,139,ufa,коммерческий,/ufa/catalog,покупка,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок плюсы и минусы,,137,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=5.0; clicks=1.0
сколько газоблоков в кубе,,137,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=3.0; clicks=1.0
сколько куб газоблока в кубе,,137,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько кубов в газоблоке,,137,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
пеноблок или газоблок,,135,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газоблоков на дом,,130,ufa,информационный,/construction,проекты зданий,Wordstat,2,вопрос,,,Сделать подборку проектов и расчеты материалов,к проработке,
сколько газоблоков в поддоне,,123,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 250,,114,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок строй,,114,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок своими руками,,111,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
нужен газобетон,,110,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок цена за штуку уфа,,109,ufa,коммерческий,/ufa/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
газобетон своими руками,,108,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон размеры,,107,ufa,коммерческий,/ufa/catalog,характеристики,Wordstat,2,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
фундамент для газобетона,,107,ufa,коммерческий,/ufa/catalog,фундамент,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
толщина газоблока,,106,ufa,информационный,/construction,характеристики,Wordstat,2,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
газобетон крыша,,104,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
блоки газоблоки,,103,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок производители,,102,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600,,101,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
кладу газоблоки,,101,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
ложу газоблоки,,101,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
армопояс для газобетона,,99,ufa,коммерческий,/ufa/catalog,конструкции,Wordstat,2,длинный,,,"Уточнить требования к армопоясу, добавить схемы",к проработке,
газоблок проекты,,99,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки цена,,97,ufa,коммерческий,/ufa/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
газоблок 600х300х200 за штуку,,96,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 100,,95,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 400,,95,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок окна,,95,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
гараж из газоблока,,95,ufa,информационный,/construction,проекты зданий,"Webmaster, Wordstat",2,длинный,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=6.0; clicks=5.0
гараж из газобетона,,94,ufa,коммерческий,/ufa/catalog,проекты зданий,Wordstat,2,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
куб газобетона,,94,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
кубе газобетон,,94,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
построил из газобетона,,94,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
калькулятор газобетона,,93,ufa,информационный,/ufa/calculator,калькулятор,Wordstat,2,основной,,,Дополнить калькулятор пояснениями и CTA,к проработке,
газоблок или керамзитоблок,,92,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=1.0; clicks=2.0
расчет газоблока,,91,ufa,информационный,/ufa/calculator,калькулятор,"Webmaster, Wordstat",2,вопрос,высокая,,Дополнить калькулятор пояснениями и CTA,к проработке,demand=9.0; clicks=9.0
сколько нужно газоблока на дом,,91,ufa,информационный,/ufa/calculator,проекты зданий,Wordstat,2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
минусы газобетона,,90,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок отзывы,,89,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=3.0; clicks=3.0
газоблок цена за куб,,88,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",2,длинный,средняя,,Актуализировать блок цен и условия покупки,к проработке,demand=5.0; clicks=2.0
лучшие газоблоки для строительства,,88,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 300,,87,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600х300х200 цена за штуку,,86,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=47.0; clicks=19.0
что лучше пеноблок или газоблок,,86,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=1.0; clicks=1.0
газобетон плюсы,,83,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
построить из газоблока,,83,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
стоимость газоблока,,83,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",2,основной,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=2.0; clicks=1.0
газобетон 100,,82,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
1 газобетон,,81,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газоблоки цена,,81,ufa,коммерческий,/ufa/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
стоит газобетон,,81,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон плюсы и минусы,,80,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблока внутри,,80,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газоблока 600х300х200,,80,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600х300х200 уфа,,79,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько стоит газобетон,,79,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон снаружи,,76,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
высота газоблока,,75,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько газобетонных блоков,,75,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
вес газоблока,,74,ufa,информационный,/construction,характеристики,"Webmaster, Wordstat",2,основной,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=5.0; clicks=3.0
газоблок 200,,74,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
клей для газобетонных блоков,,74,ufa,коммерческий,/ufa/catalog,инструменты,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
чем хорош газобетон,,74,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
лучший газоблок для строительства дома,,73,ufa,информационный,/construction,проекты зданий,Wordstat,2,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
толщина газобетона,,73,ufa,информационный,/construction,характеристики,Wordstat,2,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
какой газобетон лучше,,72,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
кладка газобетонных блоков,,72,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки купить в уфе,,71,ufa,коммерческий,/ufa/catalog,покупка,"Webmaster, Wordstat",2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=45.0; clicks=39.0
газобетон строй,,70,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
штукатурка газоблока,,70,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок стерлитамак,,69,ufa,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=3.0; clicks=2.0
газоблоки онлайн,,69,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 200х300х600,,67,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600х300х200 цена уфа,,67,ufa,коммерческий,/ufa/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
газобетон ключ,,66,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок зима,,66,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600 250 250,,65,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
какой газоблок лучше,,65,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
нужно ли газоблок,,65,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
рассчитать газоблок,,65,ufa,информационный,/ufa/calculator,общий спрос,Wordstat,2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
стройпланета уфа официальный сайт,,65.0,ufa,информационный,/construction,общий спрос,Webmaster,2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=65.0; clicks=62.0
калькулятор газоблока онлайн,,64,ufa,информационный,/ufa/calculator,калькулятор,Wordstat,2,длинный,,,Дополнить калькулятор пояснениями и CTA,к проработке,
газобетон 8,,63,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 10,,63,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
цена газоблока 200х300х600,,63,ufa,коммерческий,/ufa/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
газоблок уфа производитель,,62,ufa,информационный,/construction,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблоки рядом,,62,ufa,информационный,/construction,проекты зданий,Wordstat,2,основной,,,Сделать подборку проектов и расчеты материалов,к проработке,
сколько кубов газобетона,,61,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько надо газоблока,,61,ufa,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 5,,60,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок 600х300х200 цена за штуку в уфе,,60,ufa,коммерческий,/ufa/catalog,цены,"Webmaster, Wordstat",2,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=40.0; clicks=26.0
газоблок см,,60,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газоблок твинблок,,60,ufa,информационный,/construction,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
калькулятор газоблока для строительства,,60,ufa,информационный,/ufa/calculator,калькулятор,Wordstat,2,длинный,,,Дополнить калькулятор пояснениями и CTA,к проработке,
газобетонные блоки мм,,59,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
как сделать газобетон,,59,ufa,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
одноэтажный дом из газоблока,,59,ufa,информационный,/construction,проекты зданий,Wordstat,3,длинный,,,Сделать подборку проектов и расчеты материалов,наблюдать,
одноэтажный из газоблока,,59,ufa,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
пена для газобетона,,59,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
отделка газобетона,,58,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
сколько газоблока в 1,,58,ufa,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
баня из газоблока минусы,,57,ufa,информационный,/construction,проекты зданий,Wordstat,3,вопрос,,,Сделать подборку проектов и расчеты материалов,наблюдать,
газоблок перегородочный,,57,ufa,информационный,/construction,перегородки,"Webmaster, Wordstat",2,основной,высокая,,"Выделить раздел про перегородки, указать размеры",к проработке,demand=1.0; clicks=1.0
автоклавный газобетон,,56,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
баня из газоблока плюсы и минусы,,56,ufa,информационный,/construction,проекты зданий,"Webmaster, Wordstat",2,вопрос,средняя,,Сделать подборку проектов и расчеты материалов,к проработке,demand=20.0; clicks=17.0
газоблок 600х300х200 сколько штук,,56,ufa,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок коттедж,,56,ufa,информационный,/construction,проекты зданий,"Webmaster, Wordstat",2,основной,высокая,,Сделать подборку проектов и расчеты материалов,к проработке,demand=5.0; clicks=3.0
газоблоки баня плюсы,,56,ufa,информационный,/construction,проекты зданий,Wordstat,3,вопрос,,,Сделать подборку проектов и расчеты материалов,наблюдать,
купить газобетон в уфе,,56,ufa,коммерческий,/ufa/catalog,покупка,"Webmaster, Wordstat",2,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=3.0; clicks=4.0
сколько блоков газобетон,,56,ufa,информационный,/ufa/calculator,общий спрос,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
сколько весит газоблок,,55,ufa,информационный,/construction,характеристики,"Webmaster, Wordstat",2,вопрос,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=4.0; clicks=1.0
газоблок без,,54,ufa,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблок штук в поддоне,,54,ufa,информационный,/construction,общий спрос,Wordstat,3,длинный,,,Расширить контент и CTA под региональные запросы,наблюдать,
калькулятор расчета газоблока,,54,ufa,информационный,/ufa/calculator,калькулятор,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
сколько штук газоблока в поддоне,,54,ufa,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
стройпланета уфа,,54.0,ufa,информационный,/construction,общий спрос,Webmaster,2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=54.0; clicks=49.0
отличие газоблока,,53,ufa,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
расчет газобетона,,53,ufa,информационный,/ufa/calculator,калькулятор,Wordstat,3,вопрос,,,Дополнить калькулятор пояснениями и CTA,наблюдать,
армопояса под газобетон,,52,ufa,коммерческий,/ufa/catalog,конструкции,Wordstat,3,длинный,,,"Уточнить требования к армопоясу, добавить схемы",наблюдать,
газоблок снаружи,,52,ufa,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
уфа купить газоблок цена,,52,ufa,коммерческий,/ufa/catalog,цены,Wordstat,3,длинный,,,Актуализировать блок цен и условия покупки,наблюдать,
куб газоблока сколько штук,,50,ufa,информационный,/construction,общий спрос,Wordstat,3,вопрос,,,Расширить контент и CTA под региональные запросы,наблюдать,
размер блока газобетона,,50,ufa,коммерческий,/ufa/catalog,характеристики,Wordstat,3,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,наблюдать,
ширина газоблока,,50,ufa,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газобетон бесплатно,,49,ufa,коммерческий,/ufa/catalog,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
газоблоки 6,,49,ufa,информационный,/construction,общий спрос,Wordstat,3,основной,,,Расширить контент и CTA под региональные запросы,наблюдать,
