Запрос,Частота (точная),Частота (базовая),Регион,Интент,Страница/группа,Кластер,Источник,Приоритет,Тип хвоста,Конкуренция,SERP-пометки,Контент/UX задачи,Статус,Комментарии
построил из газобетона,,657,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон ск купить в спб,,652.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=652.0; clicks=670.0; demand=652.0; clicks=670.0
газобетон цена спб,,645,spb,коммерческий,/spb/catalog,цены,"Webmaster, Wordstat",1,длинный,высокая,,Актуализировать блок цен и условия покупки,к проработке,demand=54.0; clicks=30.0
купить газобетон лср в спб,,642.0,spb,брендовый,/spb/catalog/lsr,бренд: LSR,Webmaster,1,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=642.0; clicks=643.0
толщина газобетона,,636,spb,информационный,/construction,характеристики,Wordstat,1,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
стоит газобетон,,621,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
баня из газобетона,,617,spb,коммерческий,/spb/catalog,проекты зданий,Wordstat,1,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
1 газобетон,,610,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетон в спб,,584.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=584.0; clicks=479.0
сколько стоит газобетон,,578,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон ленинградская область,,577,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон d400,,540,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон размеры,,516,spb,коммерческий,/spb/catalog,характеристики,Wordstat,1,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
газобетон ск официальный сайт,,512.0,spb,коммерческий,/spb/catalog,общий спрос,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=512.0; clicks=533.0
газобетон 100,,507,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
отделка газобетона,,507,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон производители,,500,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки купить в спб от производителя,,498.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=498.0; clicks=477.0; demand=498.0; clicks=477.0; demand=498.0; clicks=477.0
купить газобетон от производителя,,496.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=496.0; clicks=487.0
u блоки газобетон купить в спб,,495.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=495.0; clicks=499.0
гараж из газобетона,,458,spb,коммерческий,/spb/catalog,проекты зданий,Wordstat,1,длинный,,,Сделать подборку проектов и расчеты материалов,к проработке,
газобетон крыша,,427,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
чем хорош газобетон,,409,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
калькулятор газобетона,,406,spb,информационный,/spb/calculator,калькулятор,Wordstat,1,основной,,,Дополнить калькулятор пояснениями и CTA,к проработке,
газобетонный блок спб,,391,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
какой газобетон лучше,,389,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
производители газобетона в спб,,389,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько кубов газобетона,,386,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 400,,371,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон снаружи,,369,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки цена gazobeton-spb,,364.0,spb,коммерческий,/spb/catalog,цены,Webmaster,1,длинный,средняя,,Актуализировать блок цен и условия покупки,к проработке,demand=364.0; clicks=385.0
газобетон 2,,360,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон своими руками,,360,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон купить gazobeton-spb,,358.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=358.0; clicks=374.0
газобетон d500,,356,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетон gazobeton-spb,,352.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=352.0; clicks=373.0
газобетон кв м,,348,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
м из газобетона,,346,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 150,,340,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон строй,,340,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки купить в спб gazobeton-spb,,326.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=326.0; clicks=345.0
газобетон 250,,324,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетонные блоки gazobeton-spb,,312.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=312.0; clicks=332.0
газобетонные блоки купить gazobeton-spb,,307.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,1,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=307.0; clicks=327.0
фундамент для газобетона,,304,spb,коммерческий,/spb/catalog,фундамент,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 200,,303,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон строительный,,302,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
поддон газобетона,,301,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетонные блоки размеры,,292,spb,коммерческий,/spb/catalog,характеристики,"Webmaster, Wordstat",1,длинный,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=33.0; clicks=15.0; demand=33.0; clicks=15.0
газобетон 8,,289,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон отзывы,,286,spb,информационный,/construction,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
расчет газобетона,,286,spb,информационный,/spb/calculator,калькулятор,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
6 6 газобетон,,285,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
вес газобетона,,279,spb,информационный,/construction,характеристики,Wordstat,1,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
сайт газобетон,,277,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон официальный,,273,spb,брендовый,/spb/catalog/-,бренд: Официальный сайт,Wordstat,1,основной,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
плиты из газобетона,,272,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
утепление газобетона,,272,spb,информационный,/construction,утепление,Wordstat,1,основной,,,Добавить советы по утеплению и материалы,к проработке,
газобетон петербург,,270,spb,брендовый,/spb/catalog/,бренд: СПб,"Webmaster, Wordstat",1,основной,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=54.0; clicks=43.0
ленобласть газобетон,,267,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон м3,,265,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон санкт петербург,,262,spb,коммерческий,/spb/catalog,общий спрос,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=35.0; clicks=22.0
газобетон внутри,,261,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
компания газобетон,,259,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
пена для газобетона,,255,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон официальный сайт,,247,spb,брендовый,/spb/catalog/-,бренд: Официальный сайт,Wordstat,1,длинный,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газобетонные блоки размеры и цены gazobeton-spb,,246.0,spb,коммерческий,/spb/catalog,характеристики,Webmaster,1,длинный,средняя,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,demand=246.0; clicks=266.0
газобетонные блоки мм,,245,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
плотность газобетона,,238,spb,коммерческий,/spb/catalog,характеристики,Wordstat,1,основной,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
газобетон ск,,237,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
стены из газобетонных блоков,,237,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 300,,232,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
работа газобетон,,230,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон сколько нужно,,227,spb,информационный,/spb/calculator,общий спрос,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
окна в газобетон,,223,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
лср газобетон купить спб,,222.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",1,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=222.0; clicks=131.0; demand=222.0; clicks=131.0
сколько газобетона в кубе,,221,spb,информационный,/spb/calculator,общий спрос,Wordstat,1,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
строительная компания газобетон,,221,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
перекрытие из газобетона,,219,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
терраса из газобетона,,216,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 10,,211,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
кладу газобетон,,209,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
минусы газобетона,,208,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон завод,,207,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,1,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
армопояс для газобетона,,204,spb,коммерческий,/spb/catalog,конструкции,Wordstat,1,длинный,,,"Уточнить требования к армопоясу, добавить схемы",к проработке,
монолитный газобетон,,204,spb,информационный,/construction,общий спрос,Wordstat,1,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
монтаж газобетона,,204,spb,информационный,/construction,монтаж,Wordstat,1,основной,,,Расписать этапы монтажа и предложить услуги/инструкции,к проработке,
газобетон рядом,,198,spb,коммерческий,/spb/catalog,проекты зданий,Wordstat,2,основной,,,Сделать подборку проектов и расчеты материалов,к проработке,
газобетон 3,,195,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон бесплатно,,195,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
армирование газобетона,,194,spb,информационный,/construction,конструкции,Wordstat,2,основной,,,"Уточнить требования к армопоясу, добавить схемы",к проработке,
ряд газобетона,,193,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
теплопроводность газобетона,,193,spb,коммерческий,/spb/catalog,общий спрос,"Webmaster, Wordstat",2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=15.0; clicks=5.0
газобетон дверь,,192,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон плюсы,,192,spb,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон фото,,192,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон ytong купить в спб,,190.0,spb,брендовый,/spb/catalog/ytong,бренд: Ytong,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=190.0; clicks=123.0
газобетон зимой,,189,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
лср спб газобетон,,188,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
бетон газобетон,,186,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
как сделать газобетон,,182,spb,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
штука газобетона,,182,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
размер блока газобетона,,181,spb,коммерческий,/spb/catalog,характеристики,Wordstat,2,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
фасадный газобетон,,181,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон d400 купить,,179,spb,коммерческий,/spb/catalog,покупка,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон онлайн,,179,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
производство газобетона,,178,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон плюсы и минусы,,176,spb,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
толщина стен из газобетона,,176,spb,информационный,/construction,характеристики,Wordstat,2,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
газобетон петрович,,173,spb,коммерческий,/spb/catalog,общий спрос,"Webmaster, Wordstat",2,основной,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=25.0; clicks=12.0
сколько газобетонных блоков,,172,spb,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
высота газобетона,,171,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
цена куба газобетона,,170,spb,коммерческий,/spb/catalog,цены,Wordstat,2,длинный,,,Актуализировать блок цен и условия покупки,к проработке,
d400 газобетон спб,,167,spb,брендовый,/spb/catalog/,бренд: СПб,Wordstat,2,длинный,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
несущий газобетон,,167,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
постройка газобетона,,165,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
купить газобетон d400 спб,,164,spb,коммерческий,/spb/catalog,покупка,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
сколько блоков газобетон,,162,spb,информационный,/spb/calculator,общий спрос,Wordstat,2,вопрос,,,Дополнить калькулятор пояснениями и CTA,к проработке,
газобетон купить в спб от производителя d500,,161.0,spb,коммерческий,/spb/catalog,покупка,"Webmaster, Wordstat",2,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=161.0; clicks=164.0
сколько стоит построить из газобетона,,157,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
дешевый газобетон,,156,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон кг,,154,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон разница,,153,spb,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
газобетон 625,,151,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
онлайн калькулятор газобетона,,151,spb,информационный,/spb/calculator,калькулятор,Wordstat,2,длинный,,,Дополнить калькулятор пояснениями и CTA,к проработке,
толщина газобетонных блоков,,151,spb,информационный,/construction,характеристики,Wordstat,2,длинный,,,Добавить таблицы характеристик и FAQ по параметрам,к проработке,
газобетон купить в спб цена за м3,,150.0,spb,коммерческий,/spb/catalog,цены,Webmaster,2,длинный,средняя,,Актуализировать блок цен и условия покупки,к проработке,demand=150.0; clicks=158.0
газобетонный блок лср,,149,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,длинный,,,Расширить контент и CTA под региональные запросы,к проработке,
какая стена газобетона,,148,spb,информационный,/construction,общий спрос,Wordstat,2,вопрос,,,Расширить контент и CTA под региональные запросы,к проработке,
производитель газобетонных блоков,,148.0,spb,коммерческий,/spb/catalog,общий спрос,Webmaster,2,длинный,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=148.0; clicks=161.0
купить газобетон лср в спб от производителя,,147.0,spb,брендовый,/spb/catalog/lsr,бренд: LSR,Webmaster,2,длинный,высокая,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,demand=147.0; clicks=157.0; demand=147.0; clicks=157.0
перегородки из газобетонных блоков,,147,spb,коммерческий,/spb/catalog,перегородки,"Webmaster, Wordstat",2,длинный,средняя,,"Выделить раздел про перегородки, указать размеры",к проработке,demand=3.0; clicks=1.0
газобетон купить в спб цена от производителя,,146.0,spb,коммерческий,/spb/catalog,цены,Webmaster,2,длинный,средняя,,Актуализировать блок цен и условия покупки,к проработке,demand=146.0; clicks=157.0
газобетон лср d400,,146,spb,брендовый,/spb/catalog/lsr,бренд: LSR,Wordstat,2,длинный,,,Подготовить бренд-лендинг с описанием завода и фильтром,к проработке,
газобетонные блоки купить спб,,146.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=146.0; clicks=160.0; demand=146.0; clicks=160.0
газоблоки купить спб,,146.0,spb,коммерческий,/spb/catalog,покупка,Webmaster,2,длинный,высокая,,Расширить контент и CTA под региональные запросы,к проработке,demand=146.0; clicks=84.0
производители газобетонных блоков,,146.0,spb,информационный,/construction,общий спрос,"Webmaster, Wordstat",2,вопрос,средняя,,Расширить контент и CTA под региональные запросы,к проработке,demand=146.0; clicks=156.0
газобетон 5,,145,spb,коммерческий,/spb/catalog,общий спрос,Wordstat,2,основной,,,Расширить контент и CTA под региональные запросы,к проработке,
